id	CK_1	CK_2	CK_3	Cra20_1	Cra20_2	Cra20_3	KT2440_1	KT2440_2	KT2440_3
LOC101248249	0	0	0	0	0	0	0	0	0
LOC101248251	693.5837016	473.3189326	517.8604034	618.4040442	506.5665847	754.7904707	613.5085247	638.400356	656.3422819
LOC101248252	33.57742482	74.98924717	54.09122372	30.93116508	39.00304735	31.0799927	32.46240392	43.96712658	33.66116495
LOC101248253	0.27997038	0.329467549	0.370692292	1.036781008	0.484949209	0.662249596	0.31905385	1.16924279	0.431106984
LOC101248254	1.185411704	0.48437005	1.307944856	11.34030161	1.425905972	6.560653374	3.377233764	1.633025411	1.426041662
LOC101248255	0.338571719	1.36498917	0.42693607	1.7413783	1.44803755	0.684501544	1.250393968	0.523696327	0.39824822
LOC101248256	13.51030751	14.43953796	14.81424641	15.55315094	15.26204839	13.71649459	15.80540855	14.4805963	18.20313792
LOC101248257	9.777135094	13.24280853	10.20396504	11.30920723	12.57426722	9.481065694	9.700102266	11.20887665	9.121639233
LOC101248258	2.858774472	3.973644147	3.667584146	4.786966025	8.444392749	4.387529532	4.745137147	6.445397344	5.813548743
LOC101248259	15.97171173	15.72151189	17.3398012	21.70907025	20.20500592	18.42193063	16.73000835	18.08616079	17.93292955
LOC101248260	31.90813077	49.35916921	48.60754216	40.88009693	46.22299843	35.92774885	29.16165092	29.3144182	31.92992353
LOC101248261	29.00512886	41.74688932	37.46822076	32.87345496	26.3759912	22.79482697	29.78061014	30.02671851	30.21816654
LOC101248262	0.251444313	0	0.047560372	0.023278595	0.024196552	0	0.095515195	0.021877273	0.024198854
LOC101248263	41.95380022	52.03633488	47.08123353	39.86140829	52.01707301	34.53240784	44.00429056	46.71937053	42.4983584
LOC101248264	0.385486055	0.831669292	0.601542131	0.071376233	0	0.070141482	0.073216561	0.033539768	0.092747384
LOC101248265	0	0	0	0	0	0	0	0	0
LOC101248266	21.36876102	24.84845486	24.12343773	26.54688416	25.15539482	24.08976891	22.81979552	27.04319603	23.8165818
LOC101248267	22.30455544	24.67150902	25.41222022	23.02700064	25.53680685	22.06618083	25.56276437	25.69589245	22.06077457
LOC101248268	4.627146823	0.794091672	2.7350592	4.140997598	2.820053128	2.420568586	4.723809784	4.663352139	3.636730338
LOC101248269	2.089032868	3.364272138	3.262606626	1.951760011	3.190630719	2.650321935	3.203333089	3.568485409	2.729816662
LOC101248270	0.473799565	0.464637192	0.738035413	0.928887658	0.911877117	1.064955092	0.423483385	1.333705072	1.34112337
LOC101248271	20.24103412	20.53908606	23.76230568	24.73418037	23.03887748	23.06068534	22.73632707	22.34375794	22.75617256
LOC101248272	0	0	0	0	0	0	0	0	0
LOC101248274	0	0	0	0	0	0	0	0	0
LOC101248276	160.6001785	293.064275	257.2313403	43.47810882	74.72692336	23.83026078	29.39773367	124.3089703	36.03020739
