id	cl
297	LOC101253295	6
298	LOC101252344	6
299	LOC101268616	6
300	LOC101243800	6
301	LOC101258203	6
302	LOC104644303	6
303	LOC101252833	6
304	LOC101266373	6
305	LOC101265598	6
306	LOC101249870	6
307	GolS2	3
308	LOC104644451	6
309	LOC101260388	6
310	LOC101262152	6
311	LOC101256188	6
312	LOC101264589	6
313	LOC101265748	6
314	LOC101253945	6
315	LOC101268737	6
316	LOC101252581	6
317	LOC101259196	6
318	LOC101248276	6
319	LOC101262803	6
320	LOC101268222	6
321	LOC101264047	6
322	LOC101262766	3
323	LOC101260387	4
324	LOC101268683	3
325	LOC104647464	6
326	LOC101256262	3
327	LOC101261766	6
328	LOC101255869	6
329	LOC104645686	3
330	LOC101263045	3
331	LOC101262179	6
332	LOC544061	2
333	SAP1	6
334	LOC101266204	6
335	LOC101265797	4
336	LOC101247920	6
337	LOC101256882	6
338	LOC101268738	6
339	LOC101249225	6
340	LOC101259859	6
341	LOC101254734	6
342	LOC101247544	6
343	LOC101254856	6
344	LOC101260789	6
345	LOC104644900	6
346	LOC101256817	6
347	LOC101267599	3
348	LOC101254512	6
349	LOC101266155	6
350	LOC101263598	3
351	LOC101267632	6
352	LOC101260455	6
353	LOC101260710	6
354	LOC101260207	6
355	LOC101261892	6
356	DNAJ	6
357	LOC101255976	3
358	HSP90	5
359	LOC101252819	3
360	LOC101246746	6
361	LOC101248706	6
362	LOC101254450	6
363	LOC101263486	6
364	SlRAV2	6
365	LOC101248520	6
366	LOC101262285	4
367	LOC101266872	6
368	LOC101263673	3
369	LOC101265548	6
370	LOC101247583	6
371	LOC101256620	6
372	HSTF24	6
373	LOC101245524	6
374	LOC101266806	6
375	LOC104644843	6
376	LOC104644490	6
377	LOC101262579	6
378	LOC543836	2
379	LOC101252936	6
380	LOC101254095	6
381	PIN10	3
382	LOC101263802	3
383	LOC101268224	6
384	LOC101245708	6
385	LOC101264880	6
386	LOC101265757	6
387	WRKY75	6
388	LOC101268229	4
389	LOC101252910	3
390	LOC101261583	6
391	LOC101265038	6
392	LOC101267528	4
393	LOC101262913	6
394	LOC101262884	3
395	LOC101246226	4
396	LOC101249073	4
397	LOC101255243	3
398	LOC101250314	6
399	LOC101261739	6
400	LOC101249309	6
401	LOC101255639	3
402	LOC101257419	6
403	LOC101250636	6
404	LOC101252373	6
405	LOC101263962	4
406	LOC101249694	3
407	LeSPL-CNR	3
408	LOC101256720	2
409	LOC101248335	6
410	LOC101245065	3
411	LOC101267548	6
412	LOC101245612	6
413	LOC101265542	6
414	LOC101255950	6
415	LOC101266415	3
416	LOC101249389	2
417	LOC101260608	6
418	LOC101255749	6
419	LOC101253803	6
420	LOC101249928	6
421	LOC544041	6
422	LOC101245709	2
423	NAM1	6
424	LOC101255642	6
425	LeZIP2	6
426	LOC101268880	2
427	LOC112940539	6
428	LOC101254128	6
429	LOC101262976	3
430	LOC101246387	6
431	LOC101268539	6
432	LOC101257664	6
433	LOC101267315	6
434	LOC101258252	3
435	LOC101268314	6
436	LOC101262938	6
437	LOC101262338	3
438	LOC778266	6
439	LOC101255885	6
440	LOC101267579	6
441	WRKY72	3
442	LOC101252292	3
443	LOC101261849	6
444	SlCaM2	6
445	LOC101249811	6
446	EXPB2	4
447	ERF2	6
448	LOC101252830	6
449	LOC101247427	6
450	LOC101266642	6
451	LOC101267202	6
452	LOC101257192	4
453	LOC109119841	3
454	LOC101247102	6
455	LOC101244214	4
456	LOC104647296	6
457	LOC101246001	2
458	LOC101254517	6
459	LOC101249463	6
460	LOC101245216	6
461	LOC101252760	6
462	LOC101249780	3
463	LOC101246125	2
464	LOC101251855	3
465	LOC101249975	3
466	LOC101249294	3
467	LOC104646084	6
468	LOC101244441	2
469	LOC101258557	6
470	LOC101261941	3
471	LOC101254343	6
472	LOC101260885	3
473	LOC101263694	6
474	LOC101244425	6
475	LOC101260801	3
476	LOC101251003	3
477	LOC101259293	6
478	Sl3-MMP	6
479	LOC101264778	3
480	LOC101257491	3
481	LOC101254270	6
482	LOC101268872	6
483	DDTFR10_A	6
484	LOC101250105	6
485	LOC101256624	3
486	LOC101247706	6
487	LOC101263595	2
488	LOC101249587	6
489	LOC101247701	4
490	LOC104648564	6
491	LOC101248264	6
492	LOC101266616	3
493	LOC101256004	6
494	LOC101262529	6
495	LOC101251075	6
496	RD2	6
497	LOC101261213	2
498	LOC101266198	6
499	LOC101263830	6
500	LOC101259700	6
501	LOC101261073	6
502	LOC101245583	2
503	LOC101251882	3
504	LOC101248351	2
505	LOC101250310	6
506	LOC101261144	6
507	LOC101256347	6
508	LOC101252232	2
509	LOC101246897	6
510	LOC101267943	6
511	LOC101251510	6
512	LOC101252738	2
513	LOC101266953	4
514	LOC101266387	6
515	LOC101253234	4
516	LOC101254133	3
517	LOC104645397	6
518	LOC101257771	6
519	LOC101265720	6
520	LOC104644477	6
521	LOC101261932	6
522	LOC101248957	6
523	LOC101255079	6
524	LOC101249525	2
525	LOC101255298	4
526	LOC101245982	6
527	LOC104645999	3
528	LOC101260188	6
529	LOC101251725	4
530	LOC101267475	6
531	LOC101247507	6
532	LOC101248193	3
533	LOC101256055	6
534	LOC101261332	3
535	LOC101259437	4
536	LOC101249002	2
537	LOC101250909	6
538	LOC104648413	6
539	LOC101250701	6
540	LOC104647773	2
541	LOC101258441	4
542	LOC101255657	3
543	LOC101264808	6
544	LOC101246498	6
545	LOC101245601	3
546	LOC101266599	2
547	LOC104649001	6
548	LOC101250324	6
549	PPCK2	2
550	LOC101263872	6
551	LOC101248097	6
552	ERF5	6
553	LOC101260564	4
554	LOC101249054	6
555	LOC101261794	6
556	LOC101260894	6
557	LOC101267949	4
558	LOC101252269	6
559	LOC104649042	6
560	LOC101252504	2
561	LOC101246898	6
562	LOC101264276	6
563	LOC101253883	3
564	LOC101264609	2
565	LOC101251964	6
566	LOC109120536	3
567	LOC101267994	4
568	LOC101248523	6
569	LOC101264781	6
570	LOC101265084	2
571	LOC101251676	3
572	LOC101256425	6
573	LOC104646915	6
574	LOC101248295	2
575	LOC101249062	6
576	LOC104644792	6
577	LOC101249764	3
578	LOC104648910	6
579	LOC101247541	6
580	LOC101257814	6
581	LOC101254776	6
582	LOC101252567	6
583	LOC101251542	4
584	LOC101261779	4
585	LOC112942124	6
586	LOC101251803	6
587	LOC101248673	6
588	LOC101261831	2
589	LOC101261461	3
590	LOC109121036	1
591	LOC101248778	6
592	LOC101258529	4
593	LOC101265509	6
594	LOC101268780	3
595	LOC101256870	3
596	LOC104649409	2
597	TCP3	4
598	LOC101245261	2
599	LOC101249353	6
600	LOC101253024	6
601	LOC109120920	6
602	DREB3	6
603	LOC101263795	4
604	LOC104646046	6
605	LOC101247356	2
606	LOC101260533	4
607	LOC101266862	6
608	LOC101265155	6
609	LOC101257050	6
610	LOC101248985	3
611	LOC101258191	6
612	LOC101259760	6
613	LOC101249483	6
614	LOC101246302	6
615	LOC101263533	6
616	LOC101246521	6
617	LOC101246803	6
618	LOC101256753	6
619	LOC101256758	3
620	CAB7	2
621	LOC101244774	6
622	LOC101247015	4
623	ASR1	2
624	LOC104648289	6
625	LOC101249654	6
626	LOC101266961	3
627	LOC101249445	6
628	LOC101262113	6
629	LOC101251005	6
630	LOC101253330	4
631	LOC101258965	4
632	LOC101253250	6
633	LOC101248398	2
634	hsc70_3	5
635	LOC101255144	6
636	LOC101249713	3
637	LOC101254319	4
638	LOC101262870	6
639	LOC101251621	3
640	LOC101246345	4
641	LOC101244678	6
642	LOC104644489	6
643	LOC101255462	6
644	LOC101244682	3
645	LOC101253909	6
646	LOC101252561	2
647	LOC544042	6
648	LOC101251748	6
649	LOC101248916	4
650	cevi16	3
651	LOC101254249	3
